date,value
2021-03-18,50097558.0
2021-03-19,54124436.0
2021-03-20,42026292.0
2021-03-21,27288498.0
2021-03-22,50577293.0
2021-03-23,54896490.0
2021-03-24,63970399.0
2021-03-25,75808276.0
2021-03-26,81268783.0
2021-03-27,59649383.0
2021-03-28,37663214.0
2021-03-29,54990171.0
2021-03-30,65527429.0
2021-03-31,78639915.0
2021-04-01,92949272.0
2021-04-02,80737353.0
2021-04-03,51325321.0
2021-04-04,40452057.0
2021-04-05,59986273.0
2021-04-06,73497654.0
2021-04-07,81513536.0
2021-04-08,99258446.0
2021-04-09,93916210.0
2021-04-10,64839934.0
2021-04-11,45467583.0
2021-04-12,75680894.0
2021-04-13,74652314.0
2021-04-14,78869190.0
2021-04-15,79653556.0
2021-04-16,77519666.0
2021-04-17,55615074.0
2021-04-18,36204583.0
2021-04-19,62978378.0
2021-04-20,66574734.0
2021-04-21,76257955.0
2021-04-22,93970759.0
2021-04-23,80983311.0
2021-04-24,59156406.0
2021-04-25,46001351.0
2021-04-26,74427452.0
2021-04-27,88060759.0
2021-04-28,101721606.0
2021-04-29,105736737.0
2021-04-30,109507445.0
2021-05-01,58884588.0
2021-05-02,43621646.0
2021-05-03,64586393.0
2021-05-04,76887416.0
2021-05-05,87999141.0
2021-05-06,104689758.0
2021-05-07,108208499.0
2021-05-08,83481954.0
2021-05-09,52795246.0
2021-05-10,87765501.0
2021-05-11,101469323.0
2021-05-12,113620075.0
2021-05-13,108313861.0
2021-05-14,111184718.0
2021-05-15,97107197.0
2021-05-16,84587969.0
2021-05-17,110685007.0
2021-05-18,118496344.0
2021-05-19,120097776.0
2021-05-20,137780736.0
2021-05-21,132737795.0
2021-05-22,104573129.0
2021-05-23,87050810.0
2021-05-24,117376502.0
2021-05-25,137565212.0
2021-05-26,152376399.0
2021-05-27,142342384.0
2021-05-28,141783694.0
2021-05-29,128930615.0
2021-05-30,107408344.0
2021-05-31,139988035.0
2021-06-01,154823931.0
2021-06-02,169999501.0
2021-06-03,148108105.0
2021-06-04,167181430.0
2021-06-05,129726037.0
2021-06-06,100505451.0
2021-06-07,131023456.0
2021-06-08,142194399.0
2021-06-09,149905369.0
2021-06-10,165484129.0
2021-06-11,155085644.0
2021-06-12,120411167.0
2021-06-13,104186334.0
2021-06-14,116983124.0
2021-06-15,162149018.0
2021-06-16,173912516.0
2021-06-17,187351337.0
2021-06-18,181603291.0
2021-06-19,150759479.0
2021-06-20,127204718.0
2021-06-21,174511527.0
2021-06-22,184813973.0
2021-06-23,181782478.0
2021-06-24,198607705.0
2021-06-25,188980846.0
2021-06-26,170962994.0
2021-06-27,137049799.0
2021-06-28,158904329.0
2021-06-29,173687504.0
2021-06-30,161923748.0
2021-07-01,173441789.0
2021-07-02,149752979.0
2021-07-03,136767076.0
2021-07-04,91641428.0
2021-07-05,128247153.0
2021-07-06,141049627.0
2021-07-07,135938512.0
2021-07-08,166844319.0
2021-07-09,128432666.0
2021-07-10,98574867.0
2021-07-11,82410331.0
2021-07-12,115642339.0
2021-07-13,143563562.0
2021-07-14,152240721.0
2021-07-15,146799029.0
2021-07-16,138910982.0
2021-07-17,117049554.0
2021-07-18,85955517.0
2021-07-19,113200701.0
2021-07-20,128733683.0
2021-07-21,134893787.0
2021-07-22,160344124.0
2021-07-23,159470677.0
2021-07-24,130588329.0
2021-07-25,100755844.0
2021-07-26,157376507.0
